id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
838336,"3 BEDROOM, 3 LEVEL TOWNHOUSE",4372257,Steve & Sonia,,Mount Pleasant,49.25788,-123.10925,Entire home/apt,450,5,12,2018-08-25,0.17,1,199
840894,Stunning Brick in the heart of Mt Pleasant,923296,Robin,,Riley Park,49.25424,-123.09871,Entire home/apt,60,5,84,2016-04-09,1.17,1,25
874731,Sunny room with private bathroom  near VGH,2216706,Matthew,,Fairview,49.25728,-123.12122,Private room,68,3,29,2019-05-06,0.40,1,45
875309,Heritage Home near Kits Beach,4621004,Judy,,Kitsilano,49.26965,-123.16351,Entire home/apt,275,7,30,2018-11-18,0.40,1,216
885600,"Dunbar near UBC, modern + clean",4693732,David & Patti,,Dunbar Southlands,49.24721,-123.18622,Entire home/apt,130,3,163,2019-05-03,2.16,1,230
906964,"Amazing, modern, clean apt just off Commercial Dr",4856368,Kris,,Grandview-Woodland,49.27321,-123.0707,Entire home/apt,119,2,107,2019-04-29,1.59,1,245
911099,bright furnished room in shared 2 bdrm suite,70437,Ran,,Mount Pleasant,49.26562,-123.09673,Private room,55,30,6,2019-03-05,0.08,2,243
941216,Beautiful Downtown Luxury Rental,5088083,Sahar,,Downtown,49.28038,-123.10612,Entire home/apt,95,30,3,2019-02-25,0.35,1,219
944021,Modern Serenity - Heart of Downtown,5109267,Grace,,Downtown,49.2788,-123.11753,Entire home/apt,174,90,4,2014-12-01,0.06,1,224
958090,Private apartment-Yaletown Downtown,1200456,Nala,,Downtown,49.27697,-123.11616,Entire home/apt,374,30,10,2013-09-30,0.13,8,365
961692,"PRIVATE ENT. GARDEN SUITE
Savings= WK 20%  MTH 50%",5237545,Valerie,,Hastings-Sunrise,49.29186,-123.02504,Entire home/apt,130,3,35,2018-10-28,0.48,1,225
966003,$90 Special Downtown Van 180 Degree Water View,5268156,Sharon & Allan,,Downtown,49.2803,-123.10788,Entire home/apt,149,2,198,2019-04-24,2.86,5,142
980511,"261 Yaletown Studio at ""Space""",600607,Bruce,,Downtown,49.2764,-123.12547,Entire home/apt,70,30,5,2019-03-31,0.10,51,77
994969,152 Studio (no Bedroom),600607,Bruce,,Downtown,49.27994,-123.12554,Entire home/apt,86,32,1,2013-09-17,0.01,51,17
995174,159 2 BEDROOM/ 2 FULL BATH-ideal for sharing!,600607,Bruce,,West End,49.28839,-123.12777,Entire home/apt,119,32,10,2018-03-10,0.14,51,68
1007137,S2-LUXURIOUS 2-BR/2-Baths/2-Balcony,5539641,Selina,,Downtown,49.28031,-123.1267,Entire home/apt,280,180,2,2014-05-23,0.03,2,365
1007144,S1-VIBRANT DOWNTOWN 1-BR + den!  ,5539641,Selina,,Downtown,49.27837,-123.12582,Entire home/apt,180,180,1,2013-06-02,0.01,2,365
1012385,comfy stay in clean victorian house,5569906,Mark Anthony,,Mount Pleasant,49.25825,-123.08901,Entire home/apt,81,3,213,2019-05-07,2.90,1,158
1021607,Deluxe Junior One Bedroom (2 Beds),5623565,Hajime,,Downtown,49.27826,-123.12085,Entire home/apt,81,30,89,2019-02-10,1.20,2,237
1021669,Yaletown Deluxe Studio Condominium,5623565,Hajime,,Downtown,49.2787,-123.12732,Entire home/apt,75,30,128,2019-05-03,1.75,2,217
1030205,Beautiful Point Grey Character Home,5668489,David,,Kitsilano,49.26984,-123.1812,Entire home/apt,250,7,76,2018-09-20,1.08,1,96
1030299,Great location!  Gastown/Skytrain,2673805,Keith,,Downtown,49.27843,-123.10725,Entire home/apt,111,90,21,2013-10-13,0.28,2,177
1032892,Artist's Character home in 'hip' Commercial Drive,2378744,Lori,,Grandview-Woodland,49.27093,-123.06289,Private room,95,2,35,2019-04-29,0.48,1,301
1061895,Quiet space minutes from downtown!,5845838,Jenny,,Renfrew-Collingwood,49.24347,-123.04234,Private room,70,2,55,2018-08-30,1.49,1,5
1066613,Modern warm apt - Yaletown,84353,Mike,,Downtown,49.27847,-123.12429,Private room,64,30,21,2016-06-18,0.29,1,62
1096393,Ground Level apartment for 1 person,2456973,Jeanette,,Fairview,49.25818,-123.13185,Entire home/apt,200,30,9,2018-08-31,0.17,6,296
1102797,this is the door to vancouver UNW,981145,Dianne,,Downtown Eastside,49.27881,-123.08014,Private room,67,1,45,2019-05-05,0.83,4,286
1103566,"Modern, Heart of Downtown-3 BR+2Bath+Office+Pkg",6060927,Arin,,Downtown,49.27865,-123.10722,Entire home/apt,349,3,230,2019-04-20,4.50,1,286
1109821,136 Lord Stanley Great price!,600607,Bruce,,West End,49.29193,-123.1364,Entire home/apt,99,30,11,2019-03-23,0.17,51,0
1113551,Family-Friendly Kitsilano House with Mountain Views,5231060,Liz,,Kitsilano,49.26056,-123.15874,Entire home/apt,480,6,30,2019-01-04,0.42,1,274
1115618,This is the door to Vancouver UNE,981145,Dianne,,Downtown Eastside,49.27864,-123.07854,Private room,67,1,28,2019-04-28,0.48,4,298
1118858,*Best choice in downtown-5 Stars *,70137,Kai,,West End,49.28115,-123.13038,Private room,95,3,39,2019-04-29,0.54,3,253
1130865,Fabulous Yaletown location,6204357,Tatiana,,Downtown,49.27664,-123.12321,Entire home/apt,161,60,5,2018-08-31,0.07,2,365
1141457,2 Bdrm in Strathcona,6067405,Paige And Grant,,Downtown Eastside,49.27954,-123.08689,Entire home/apt,119,3,236,2019-04-20,3.23,1,222
1162198,Bright & Tidy Character Apartment,6366260,Mary,,Grandview-Woodland,49.27186,-123.06996,Private room,50,30,71,2019-04-15,1.01,1,296
1171867,Live by the beach in Kits Point,1805803,Linda,,Kitsilano,49.27427,-123.14976,Entire home/apt,301,2,60,2018-12-05,0.86,1,0
1178149,Cozy space in East Vancouver,6165412,Sylvia,,Hastings-Sunrise,49.27128,-123.04797,Entire home/apt,70,2,17,2019-04-07,1.68,1,204
1187929,Elegant Main floor House Vancouver,6495937,Janet,,Kensington-Cedar Cottage,49.24931,-123.0704,Entire home/apt,188,3,71,2019-03-31,1.00,1,27
1191143,Beautiful Kitsilano Character home. Great Location,598979,Mary,,Kitsilano,49.26856,-123.17419,Entire home/apt,310,6,11,2018-09-22,0.18,2,43
1209195,Kriszta's Studio,6602654,Kriszta,,Grandview-Woodland,49.27244,-123.06493,Entire home/apt,99,2,269,2019-04-21,3.72,2,94
1213494,Beautiful new home in Mt. Pleasant,6624242,Jonathan And Marie,,Mount Pleasant,49.26198,-123.08556,Entire home/apt,250,5,11,2018-08-26,0.24,2,13
1214617,Cool cozy suite on The Drive,6630357,Divina And Viv,,Grandview-Woodland,49.26589,-123.0677,Entire home/apt,136,3,174,2019-05-09,2.45,1,213
1216428,"Garden Paradise, by Olympic Village",6637800,Edward,,Mount Pleasant,49.26538,-123.09059,Private room,75,3,42,2019-05-06,0.88,1,276
1223989,Stunning Suite Heart of DT w/Parkng,6677154,Amanda,,West End,49.27915,-123.12949,Entire home/apt,119,89,100,2017-05-17,1.40,1,154
1229714,Luxury apartment Downtown Vancouver,1200456,Nala,,Downtown,49.28429,-123.1157,Entire home/apt,522,2,0,,,8,365
1233101,Beautiful Vancouver Townhouse,3778731,Trevor,,Kitsilano,49.26658,-123.14956,Entire home/apt,188,31,2,2018-02-03,0.09,1,320
1269955,Downtown heritage 1 bdrm  apartment,6912044,Marten,,Downtown,49.28296,-123.12185,Entire home/apt,101,30,58,2019-04-04,0.81,1,247
1273760,Private Hotel-Style Suite in a Downtown Boutique High-Rise,6033,Cam,,Downtown,49.2858,-123.11767,Private room,150,1,335,2019-05-08,4.70,1,287
1281095,New and Cozy Flat in the Heart of Mount Pleasant,6971193,Monica & Thomas,,Mount Pleasant,49.26461,-123.09213,Entire home/apt,180,3,46,2019-03-31,0.64,1,189
1281306,Retreat in the City,6336753,Susan,,Dunbar Southlands,49.2276,-123.18995,Entire home/apt,275,18,4,2015-10-08,0.06,1,161
1291394,Clean New Kits 3 bedroom/ 2bath!,7021457,Leila,,Kitsilano,49.26876,-123.18517,Entire home/apt,184,5,38,2018-05-31,0.54,2,9
1301620,Suite Life on Kitchener Street,7077434,Chris,,Grandview-Woodland,49.27169,-123.0659,Entire home/apt,101,1,166,2019-04-21,2.36,1,118
1301845,Private Garden Suite,7078248,Paula,,Dunbar Southlands,49.24573,-123.18943,Entire home/apt,119,30,18,2019-01-03,0.25,1,117
